"threshold","precision","recall","f1score","f5score","f25score","species","classifier"
0.62,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.63,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.64,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.65,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.66,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.67,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.68,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.69,1,0.139720422775315,0.245183678353476,0.448143125847513,0.734114522961496,"BADO","BirdNET"
0.7,1,0.107057620184112,0.193409300893132,0.37479111959895,0.670855850194797,"BADO","BirdNET"
0.71,1,0.107057620184112,0.193409300893132,0.37479111959895,0.670855850194797,"BADO","BirdNET"
0.72,1,0.107057620184112,0.193409300893132,0.37479111959895,0.670855850194797,"BADO","BirdNET"
0.73,1,0.0945789294237982,0.172813356591079,0.343096027309158,0.639742789700735,"BADO","BirdNET"
0.74,1,0.0838390726218889,0.154707603258989,0.313920236940203,0.608716544835018,"BADO","BirdNET"
0.75,1,0.0727923627684964,0.135706340378198,0.2818853974122,0.571664829106946,"BADO","BirdNET"
0.76,1,0.0727923627684964,0.135706340378198,0.2818853974122,0.571664829106946,"BADO","BirdNET"
0.77,1,0.0727923627684964,0.135706340378198,0.2818853974122,0.571664829106946,"BADO","BirdNET"
0.78,1,0.0638254347084896,0.119992308185373,0.254223477646803,0.536823993792382,"BADO","BirdNET"
0.79,1,0.0530855779065803,0.100819114837958,0.218938073007481,0.487979794255374,"BADO","BirdNET"
0.8,1,0.0530855779065803,0.100819114837958,0.218938073007481,0.487979794255374,"BADO","BirdNET"
0.81,1,0.041527446300716,0.07974335472044,0.178059762586983,0.424146831086894,"BADO","BirdNET"
