precision,base,choose,overlap,species pool,filters
0.55,0.584728721426588,0.6092685011703577,0.6425220803304891,0.6533183743927801,0.6714375646580055
0.56,0.5827899353316132,0.6074104248674606,0.6402102670971943,0.6505125291046198,0.668950619622251
0.5700000000000001,0.5812595630183859,0.6059539068784788,0.6383611207754516,0.6482067824022251,0.6669253501009298
0.58,0.5800980406610973,0.6048588881242222,0.6369408063632449,0.6463687125223527,0.665331167542464
0.59,0.5792633504493372,0.604082930274817,0.635912491797267,0.6449626342629152,0.6641341628504328
0.6,0.5787112453633636,0.6035814535054637,0.6352365263685381,0.6439497787039772,0.6632972480329163
0.61,0.5783954739493722,0.603307974252193,0.6348706191380245,0.6432884729287548,0.6627802978518395
0.62,0.5782680050947677,0.6032143429676229,0.6347700173522592,0.6429343197446141,0.662540291472314
0.63,0.5782792528034332,0.603250981876716,0.6348876848589603,0.6428403774040682,0.6625314541119819
0.64,0.5783783009710007,0.6033671227325362,0.6351744805226517,0.6429573393257766,0.6627053986903598
0.65,0.5785131281601211,0.6035110445720052,0.63557933664028,0.6432337138155428,0.6630112674781814
0.66,0.5786308323757345,0.6036303114716602,0.6360494373568368,0.6436160037873129,0.6633958737467404
0.67,0.57867785584034,0.6036720103034101,0.6365303970809757,0.6440488864841732,0.6638038434172345
0.68,0.5786002097692662,0.6035829884902931,0.636966438900633,0.6444753931993493,0.6641777567101085
0.6900000000000001,0.5783436991459413,0.6033100917622325,0.6373005729986463,0.6448370889972033,0.6644582897943967
0.7000000000000001,0.577854147497163,0.6028004019117948,0.6374747750683748,0.645074252434233,0.6645843564370676
0.71,0.5770776216683693,0.6020014745499466,0.6374301647293176,0.64512605528007,0.6644932496523666
0.72,0.5759606565989078,0.60086157686181,0.6371071839427335,0.6449307422384775,0.6641207833511585
0.73,0.5744504800973065,0.5993299253624211,0.6364457754272604,0.6444258106683478,0.6634014339902715
0.74,0.5724952376165435,0.5973569236524866,0.6353855610745348,0.6435481903047027,0.6622684822218405
0.75,0.5700442170293176,0.5948944001741403,0.633866020364811,0.6422344229796895,0.6606541545426503
0.76,0.5670480734033183,0.5918958459667,0.6318266687825801,0.6404208423435807,0.6584897649434786
0.77,0.5634590537764951,0.5883166524224246,0.6292072362321898,0.6380437535857711,0.6557058565584388
0.78,0.5592312219323297,0.5841143490422713,0.6259478454534639,0.6350396131557775,0.6522323433143256
0.79,0.5543206831751039,0.5792488411916523,0.6219891904373214,0.6313452084842354,0.6479986515799546
0.8,0.5486858091051708,0.573682647856191,0.6172727148413953,0.6268978377038976,0.6429338618155087
0.81,0.5422874623942259,0.5673811393974802,0.6117407904056535,0.6216354893706337,0.6369668502218797
0.8200000000000001,0.5350892215605749,0.5603127753088384,0.6053368953680163,0.6154970221844263,0.6300264303900127
0.8300000000000001,0.5270576057444061,0.5524493419710659,0.5980057928799769,0.6084223447103709,0.6220414949502476
0.84,0.5181622994830593,0.5437661904082032,0.5896937094222207,0.600352595099673,0.6129411572216643
0.85,0.5083763774862964,0.5342424740432872,0.5803485132202443,0.5912303208106473,0.6026548928614253
0.86,0.49767652941157137,0.5238613864541075,0.5699198926599749,0.580999658329715,0.5911126815141179
0.87,0.4860432846393007,0.5126103991289646,0.5583595347033898,0.5696065128924026,0.5782451484610989
0.88,0.47346123704813303,0.5004814992224257,0.5456213033041362,0.55699873820434,0.5639837062698374
0.89,0.45991926979021996,0.48747142731108206,0.5316614178231491,0.5431263161622587,0.5482606964432577
0.9,0.4454107800664858,0.47358191514930625,0.5164386314442727,0.5279415365749902,0.5310095310690834
0.91,0.42993390390189756,0.4588199234250083,0.49991440958987776,0.5113991768844637,0.5121648344691793
0.92,0.4134917409207356,0.4431978795153932,0.48205310833648257,0.4934566818867049,0.491662584848896
0.93,0.3960925791218635,0.42673391524271764,0.4628221528303715,0.47407434345283417,0.4694402559464127
0.9400000000000001,0.3777501196539981,0.40945210463004683,0.4421922157032141,0.4532154802500645,0.4454369586820802
0.9500000000000001,0.35848370159097964,0.39138270165701133,0.42013739548768503,0.43084661746269937,0.41959358280776415
0.96,0.33831852670704254,0.3725623780155646,0.39663539503308354,0.40693766651313246,0.3918529385561891
0.97,0.317285884252085,0.3530344608657392,0.3716676999209525,0.38146210478284426,0.36215989829028095
0.98,0.29542337572693844,0.33284917059140334,0.3452197568806968,0.35439715533340044,0.33046153815250984
0.99,0.27277513965863937,0.31206385855601937,0.31728115220520486,0.3257239666274515,0.2967072797142349
1.0,0.24939207637569827,0.29074324485839903,0.2878457901664663,0.2954277922497294,0.2608490316250462
