filename,latitude,longitude,recording_date
81620.mp3,54.86,-111.54,2016-05-31
81629.mp3,54.85,-111.54,2016-05-22
81654.mp3,54.85,-111.55,2016-05-26
81723.mp3,55.16,-111.79,2013-06-30
81980.mp3,55.09,-111.57,2015-06-08
81987.mp3,55.05,-111.65,2015-06-09
82007.mp3,55.16,-111.68,2013-06-25
82009.mp3,55.16,-111.68,2013-06-25
82031.mp3,55.16,-111.68,2015-06-02
82103.mp3,55.15,-111.67,2013-06-28
50001.mp3,55.14,-111.68,2018-06-25
82268.mp3,54.53,-111.13,2016-06-26
82269.mp3,54.53,-111.13,2016-06-26
82272.mp3,54.53,-111.13,2017-06-17
82288.mp3,54.53,-111.15,2016-06-26
82288.mp3,54.53,-111.15,2016-06-26
82299.mp3,54.54,-111.14,2015-06-28
82343.mp3,54.54,-111.12,2016-06-26
82480.mp3,55.72,-111.11,2016-05-31
82480.mp3,55.72,-111.11,2016-05-31
82531.mp3,55.74,-111.11,2015-06-15
77540.mp3,54.68,-110.84,2013-06-16
82821.mp3,55.72,-111.00,2013-06-12
82824.mp3,55.72,-111.00,2013-06-15
82861.mp3,55.72,-110.99,2015-06-25
83170.mp3,56.01,-110.82,2016-06-11
83237.mp3,56.03,-110.84,2013-07-10
83239.mp3,56.03,-110.84,2013-07-13
83248.mp3,56.04,-110.85,2013-07-10
100142.mp3,57.37,-111.30,2019-07-09
100153.mp3,57.36,-111.32,2019-06-21
100153.mp3,57.36,-111.32,2019-06-21
83840.mp3,57.34,-111.35,2014-06-05
83843.mp3,57.34,-111.35,2014-06-12
83843.mp3,57.34,-111.35,2014-06-12
83864.mp3,57.34,-111.32,2014-05-29
84128.mp3,57.33,-111.32,2015-06-07
84128.mp3,57.33,-111.32,2015-06-07
84128.mp3,57.33,-111.32,2015-06-07
84234.mp3,57.42,-111.55,2015-05-30
4717.mp3,57.42,-111.55,2018-06-01
4713.mp3,57.42,-111.55,2018-06-07
4728.mp3,57.43,-111.52,2018-05-25
100634.mp3,57.43,-111.52,2019-06-14
100634.mp3,57.43,-111.52,2019-06-14
100634.mp3,57.43,-111.52,2019-06-14
84358.mp3,57.43,-111.46,2015-06-11
84392.mp3,57.44,-111.47,2015-06-07
84395.mp3,57.44,-111.47,2017-05-25
84412.mp3,57.44,-111.45,2016-06-01
84479.mp3,57.46,-111.41,2015-06-05
84481.mp3,57.46,-111.41,2015-06-06
84489.mp3,57.46,-111.41,2016-06-01
84518.mp3,57.45,-111.41,2017-06-07
50094.mp3,57.46,-111.42,2018-05-28
100435.mp3,57.49,-111.36,2019-06-03
100665.mp3,57.49,-111.36,2019-05-31
4031.mp3,57.47,-111.39,2018-06-09
4031.mp3,57.47,-111.39,2018-06-09
100682.mp3,57.46,-111.40,2019-07-06
84623.mp3,57.43,-111.52,2013-05-17
84629.mp3,57.43,-111.52,2013-05-21
84629.mp3,57.43,-111.52,2013-05-21
84659.mp3,57.44,-111.51,2013-05-22
84672.mp3,57.44,-111.51,2016-05-26
84758.mp3,57.43,-111.52,2013-05-21
84758.mp3,57.43,-111.52,2013-05-21
84758.mp3,57.43,-111.52,2013-05-21
84893.mp3,57.44,-111.51,2017-05-24
92347.mp3,57.44,-111.45,2014-05-31
85043.mp3,57.44,-111.45,2013-05-18
85082.mp3,57.44,-111.46,2013-05-23
85159.mp3,57.44,-111.46,2013-05-23
85167.mp3,57.44,-111.46,2014-06-08
85206.mp3,57.45,-111.43,2013-06-12
71605.mp3,57.45,-111.43,2013-06-12
71654.mp3,57.46,-111.40,2013-06-18
71654.mp3,57.46,-111.40,2013-06-18
71654.mp3,57.46,-111.40,2013-06-18
71660.mp3,57.46,-111.40,2013-06-20
71683.mp3,57.46,-111.40,2014-05-24
71765.mp3,57.46,-111.39,2013-06-25
71789.mp3,57.46,-111.39,2015-06-13
71789.mp3,57.46,-111.39,2015-06-13
71802.mp3,57.46,-111.39,2016-06-04
71824.mp3,57.46,-111.40,2013-06-18
71824.mp3,57.46,-111.40,2013-06-18
71851.mp3,57.46,-111.40,2014-06-03
71911.mp3,57.46,-111.39,2015-06-12
4135.mp3,57.46,-111.39,2018-06-09
72033.mp3,57.46,-111.40,2015-06-10
72033.mp3,57.46,-111.40,2015-06-10
72158.mp3,57.48,-111.40,2014-06-22
4163.mp3,57.48,-111.41,2018-05-24
72286.mp3,57.47,-111.40,2015-06-03
72602.mp3,57.43,-111.47,2015-06-03
72715.mp3,57.52,-111.34,2015-06-07
72964.mp3,57.43,-111.21,2013-05-31
72964.mp3,57.43,-111.21,2013-05-31
73166.mp3,57.44,-111.21,2016-06-28
73207.mp3,57.43,-111.20,2014-05-16
73356.mp3,57.41,-111.19,2016-06-11
73536.mp3,57.41,-111.20,2013-07-04
73712.mp3,57.41,-111.20,2013-07-02
4934.mp3,57.41,-111.20,2018-06-07
73928.mp3,57.43,-111.24,2013-06-07
74312.mp3,57.40,-111.21,2013-07-09
74527.mp3,57.44,-111.18,2015-06-02
74955.mp3,57.41,-111.21,2015-06-19
76500.mp3,55.61,-110.80,2014-06-10
76500.mp3,55.61,-110.80,2014-06-10
76745.mp3,55.59,-110.75,2013-05-29
76816.mp3,56.28,-110.86,2017-05-20
76956.mp3,56.25,-110.96,2013-06-17
77049.mp3,56.25,-110.98,2013-06-16
77163.mp3,56.29,-110.98,2017-06-15
77204.mp3,56.33,-110.94,2013-05-23
77310.mp3,55.48,-110.92,2013-05-29
77496.mp3,55.45,-110.88,2013-05-19
77498.mp3,55.45,-110.88,2013-05-21
77782.mp3,54.69,-110.52,2013-06-12
156053.mp3,54.70,-110.47,2013-06-22
77707.mp3,55.87,-110.71,2016-05-24
77709.mp3,55.87,-110.71,2016-05-24
77724.mp3,55.87,-110.72,2013-06-22
77771.mp3,55.86,-110.71,2015-05-13
77776.mp3,55.86,-110.71,2016-05-21
78303.mp3,55.91,-110.63,2017-05-22
78588.mp3,55.91,-110.62,2013-06-02
78606.mp3,55.91,-110.62,2013-06-15
79576.mp3,54.13,-110.46,2013-07-16
79576.mp3,54.13,-110.46,2013-07-16
79661.mp3,58.60,-111.13,2013-06-07
79663.mp3,58.60,-111.13,2013-06-02
79667.mp3,58.60,-111.13,2013-06-06
79667.mp3,58.60,-111.13,2013-06-06
79673.mp3,58.60,-111.14,2013-06-04
79677.mp3,58.60,-111.14,2013-06-07
79677.mp3,58.60,-111.14,2013-06-07
79679.mp3,58.60,-111.13,2013-06-02
79685.mp3,58.60,-111.13,2013-06-06
92556.mp3,58.40,-110.97,2013-06-17
92563.mp3,58.39,-110.98,2013-06-16
92563.mp3,58.39,-110.98,2013-06-16
92563.mp3,58.39,-110.98,2013-06-16
92567.mp3,58.39,-110.97,2013-06-16
92577.mp3,58.61,-111.69,2013-08-11
79921.mp3,55.04,-112.11,2016-05-26
79987.mp3,55.04,-112.12,2015-06-12
79987.mp3,55.04,-112.12,2015-06-12
80032.mp3,55.05,-112.11,2016-05-25
80069.mp3,55.04,-112.12,2016-05-24
80080.mp3,55.04,-112.12,2016-05-26
80604.mp3,54.98,-111.82,2016-05-24
80606.mp3,54.98,-111.82,2016-05-24
77877.mp3,54.56,-110.26,2014-07-02
77887.mp3,54.56,-110.25,2013-06-03
77896.mp3,54.56,-110.25,2013-06-04
78016.mp3,54.55,-110.25,2014-07-09
78102.mp3,54.44,-110.06,2013-06-08
78102.mp3,54.44,-110.06,2013-06-08
78102.mp3,54.44,-110.06,2013-06-08
78104.mp3,54.44,-110.06,2013-06-08
78106.mp3,54.44,-110.06,2013-06-09
78106.mp3,54.44,-110.06,2013-06-09
78196.mp3,54.44,-110.06,2017-06-06
78196.mp3,54.44,-110.06,2017-06-06
78196.mp3,54.44,-110.06,2017-06-06
78266.mp3,54.44,-110.07,2017-06-06
78319.mp3,54.44,-110.07,2013-06-02
78319.mp3,54.44,-110.07,2013-06-02
78328.mp3,54.44,-110.07,2013-06-06
78391.mp3,54.44,-110.09,2013-06-28
78391.mp3,54.44,-110.09,2013-06-28
78420.mp3,54.44,-110.09,2016-06-25
78420.mp3,54.44,-110.09,2016-06-25
78424.mp3,54.44,-110.09,2016-06-26
78424.mp3,54.44,-110.09,2016-06-26
78424.mp3,54.44,-110.09,2016-06-26
78440.mp3,54.44,-110.08,2013-06-28
78474.mp3,54.44,-110.08,2016-06-25
78474.mp3,54.44,-110.08,2016-06-25
78474.mp3,54.44,-110.08,2016-06-25
78493.mp3,54.44,-110.09,2013-06-28
78495.mp3,54.44,-110.09,2013-06-30
78554.mp3,54.44,-110.08,2016-06-25
78554.mp3,54.44,-110.08,2016-06-25
78554.mp3,54.44,-110.08,2016-06-25
78581.mp3,54.43,-110.09,2013-06-28
78581.mp3,54.43,-110.09,2013-06-28
78597.mp3,54.43,-110.09,2013-07-09
78605.mp3,54.43,-110.09,2013-07-11
78612.mp3,54.43,-110.09,2013-07-11
78621.mp3,54.43,-110.09,2016-06-25
78621.mp3,54.43,-110.09,2016-06-25
98698.mp3,54.43,-110.09,2019-07-07
98698.mp3,54.43,-110.09,2019-07-07
98698.mp3,54.43,-110.09,2019-07-07
78691.mp3,54.44,-110.11,2016-06-25
78691.mp3,54.44,-110.11,2016-06-25
78785.mp3,54.44,-110.11,2013-06-16
78839.mp3,54.44,-110.11,2015-06-11
81002.mp3,55.68,-110.89,2016-06-23
81444.mp3,55.95,-113.83,2017-06-17
81482.mp3,55.95,-113.84,2015-06-11
81560.mp3,55.96,-113.91,2015-06-05
81633.mp3,55.94,-113.82,2015-06-22
81788.mp3,54.75,-112.37,2015-06-11
81806.mp3,54.75,-112.37,2016-05-24
79093.mp3,54.53,-111.23,2017-05-19
79381.mp3,57.52,-111.32,2013-06-02
79381.mp3,57.52,-111.32,2013-06-02
79441.mp3,57.46,-111.30,2013-07-17
79458.mp3,57.46,-111.30,2013-07-14
79469.mp3,57.46,-111.30,2013-07-17
4305.mp3,57.48,-111.21,2018-06-24
159957.mp3,57.48,-111.19,2015-06-08
80308.mp3,57.59,-111.47,2013-06-18
101932.mp3,55.75,-116.00,2016-06-04
101945.mp3,55.86,-115.85,2016-05-12
101949.mp3,55.86,-115.85,2016-05-15
101954.mp3,55.70,-115.89,2016-05-17
101954.mp3,55.70,-115.89,2016-05-17
101954.mp3,55.70,-115.89,2016-05-17
108765.mp3,55.46,-114.69,2014-06-02
108970.mp3,55.43,-114.62,2014-06-06
